日期,最高气温,最低气温,天气
2011-01-01,27℃,18℃,多云
2011-01-02,27℃,18℃,多云
2011-01-03,28℃,19℃,多云
2011-01-04,28℃,19℃,多云
2011-01-05,29℃,18℃,多云
2011-01-06,29℃,18℃,多云
2011-01-07,27℃,20℃,多云
2011-01-08,27℃,20℃,多云
2011-01-09,28℃,21℃,多云
2011-01-10,26℃,21℃,阵雨
2011-01-11,28℃,21℃,小到中雨
2011-01-12,25℃,20℃,多云
2011-01-13,24℃,18℃,阴
2011-01-14,23℃,17℃,多云
2011-01-15,26℃,20℃,多云
2011-01-16,27℃,20℃,多云
2011-01-26,27℃,19℃,多云
2011-01-29,24℃,18℃,多云
2011-01-30,25℃,18℃,多云
2011-01-31,25℃,18℃,多云
2011-02-01,25℃,17℃,多云
2011-02-02,24℃,19℃,多云
2011-02-03,25℃,18℃,多云
2011-02-04,27℃,19℃,多云
2011-02-05,27℃,18℃,多云
2011-02-06,27℃,17℃,多云
2011-02-07,29℃,18℃,多云
2011-02-08,28℃,18℃,多云
2011-02-09,29℃,18℃,多云
2011-02-10,29℃,22℃,多云
2011-02-11,28℃,18℃,阵雨
2011-02-12,28℃,20℃,多云
2011-02-13,26℃,19℃,阵雨
2011-02-14,25℃,18℃,阵雨
2011-02-15,25℃,19℃,阴
2011-02-16,27℃,20℃,多云
2011-02-17,28℃,21℃,多云
2011-02-18,29℃,21℃,多云
2011-02-19,28℃,21℃,多云
2011-02-20,28℃,20℃,阵雨
2011-02-21,27℃,21℃,阴
2011-02-22,27℃,22℃,多云
2011-02-23,28℃,20℃,多云
2011-02-24,28℃,21℃,多云
2011-02-25,28℃,21℃,多云
2011-02-26,28℃,22℃,多云
2011-02-27,29℃,21℃,多云
2011-02-28,29℃,21℃,多云
2011-03-01,29℃,20℃,多云
2011-03-02,28℃,20℃,多云
2011-03-03,28℃,20℃,多云
2011-03-04,28℃,22℃,多云
2011-03-05,28℃,22℃,多云
2011-03-06,29℃,21℃,多云
2011-03-07,29℃,22℃,多云~小雨
2011-03-08,28℃,21℃,小雨
2011-03-09,27℃,22℃,多云
2011-03-10,28℃,22℃,小雨
